week,time,fav,spr,und,blank1,Anne ,Cate ,Donna ,Elliott,Francis,Franklona,Gabhandy,Gary,Joeanne,Jonathan,Leslie,Miles,Packy,Paul ,Roberta,Soblocoa,blank2,s_Anne ,s_Cate ,s_Donna ,s_Elliott,s_Francis,s_Franklona,s_Gabhandy,s_Gary,s_Joeanne,s_Jonathan,s_Leslie,s_Miles,s_Packy,s_Paul ,s_Roberta,s_Soblocoa
4,10/4 1:00 ET,CAR,-3,TB,,CAR 5,CAR 5,TB 11,CAR 5,CAR 5,TB 11,CAR 5,CAR 5,CAR 5,CAR 5,CAR 5,CAR 5,CAR 5,TB 11,TB 11,TB 11,,159,153,166,93,171,188,186,195,191,181,151,139,167,173,111,158
4,10/4 1:00 ET,BUF,-6,NYG,,NYG 11,BUF 5,NYG 11,BUF 5,BUF 5,NYG 11,BUF 5,BUF 5,NYG 11,BUF 5,BUF 5,BUF 5,BUF 5,BUF 5,BUF 5,NYG 11,,159,153,166,93,171,188,186,195,191,181,151,139,167,173,111,158
4,10/4 1:00 ET,OAK,-3,CHI,,CHI 7,CHI 7,OAK 9,CHI 7,OAK 9,CHI 7,OAK 9,OAK 9,CHI 7,OAK 9,OAK 9,CHI 7,OAK 9,CHI 7,CHI 7,CHI 7,,159,153,166,93,171,188,186,195,191,181,151,139,167,173,111,158
4,10/4 1:00 ET,PHI,-3,WAS,,WAS 9,PHI 7,PHI 7,WAS 9,PHI 7,WAS 9,PHI 7,WAS 9,WAS 9,PHI 7,WAS 9,PHI 7,PHI 7,WAS 9,PHI 7,PHI 7,,159,153,166,93,171,188,186,195,191,181,151,139,167,173,111,158
4,10/4 1:00 ET,CIN,-3.5,KC,,KC 10,CIN 6,CIN 6,KC 10,CIN 6,KC 10,CIN 6,KC 10,CIN 6,CIN 6,KC 10,CIN 6,CIN 6,CIN 6,KC 10,CIN 6,,159,153,166,93,171,188,186,195,191,181,151,139,167,173,111,158
4,10/4 4:05 ET,SD,-5,CLE,,SD 6,CLE 10,CLE 10,SD 6,SD 6,CLE 10,SD 6,SD 6,CLE 10,SD 6,SD 6,CLE 10,SD 6,SD 6,CLE 10,SD 6,,159,153,166,93,171,188,186,195,191,181,151,139,167,173,111,158
4,10/4 4:25 ET,GB,-7.5,SF,,GB 2,GB 2,SF 14,GB 2,GB 2,SF 14,GB 2,GB 2,GB 2,GB 2,GB 2,GB 2,GB 2,GB 2,GB 2,GB 2,,159,153,166,93,171,188,186,195,191,181,151,139,167,173,111,158
4,10/4 4:25 ET,DEN,-7,MIN,,DEN 4,DEN 4,MIN 12,DEN 4,MIN 12,MIN 12,DEN 4,DEN 4,DEN 4,DEN 4,DEN 4,DEN 4,DEN 4,DEN 4,MIN 12,DEN 4,,159,153,166,93,171,188,186,195,191,181,151,139,167,173,111,158
4,10/4 4:25 ET,ARI,-7,STL,,STL 11,STL 11,STL 11,ARI 5,ARI 5,STL 11,ARI 5,ARI 5,ARI 5,ARI 5,ARI 5,ARI 5,ARI 5,ARI 5,ARI 5,STL 11,,159,153,166,93,171,188,186,195,191,181,151,139,167,173,111,158
4,10/4 8:30 ET,NO,-3,DAL,,NO 9,DAL 7,NO 9,NO 9,DAL 7,DAL 7,DAL 7,NO 9,NO 9,DAL 7,NO 9,DAL 7,DAL 7,DAL 7,DAL 7,NO 9,,159,153,166,93,171,188,186,195,191,181,151,139,167,173,111,158
4,10/5 8:30 ET,SEA,-10,DET,,SEA 4,DET 12,DET 12,SEA 4,SEA 4,DET 12,SEA 4,SEA 4,SEA 4,SEA 4,SEA 4,SEA 4,SEA 4,SEA 4,DET 12,SEA 4,,159,153,166,93,171,188,186,195,191,181,151,139,167,173,111,158
5,10/8 8:25 ET,HOU,-5,IND,,IND 9,IND 9,HOU 7,HOU 7,IND 9,IND 9,IND 9,IND 9,HOU 7,HOU 7,HOU 7,HOU 7,HOU 7,HOU 7,IND 9,HOU 7,,237,204,209,156,217,232,236,250,269,231,207,183,204,221,123,227
5,10/11 1:00 ET,TB,-1,JAC,,JAC 9,TB 7,TB 7,TB 7,JAC 9,JAC 9,JAC 9,JAC 9,JAC 9,TB 7,TB 7,JAC 9,TB 7,TB 7,TB 7,TB 7,,237,204,209,156,217,232,236,250,269,231,207,183,204,221,123,227
5,10/11 1:00 ET,BUF,-1,TEN,,TEN 7,TEN 7,TEN 7,TEN 7,BUF 9,BUF 9,TEN 7,TEN 7,BUF 9,BUF 9,BUF 9,TEN 7,TEN 7,BUF 9,BUF 9,TEN 7,,237,204,209,156,217,232,236,250,269,231,207,183,204,221,123,227
5,10/11 1:00 ET,BAL,-6.5,CLE,,BAL 4,BAL 4,CLE 12,BAL 4,BAL 4,CLE 12,BAL 4,CLE 12,CLE 12,BAL 4,BAL 4,BAL 4,BAL 4,BAL 4,BAL 4,BAL 4,,237,204,209,156,217,232,236,250,269,231,207,183,204,221,123,227
5,10/11 1:00 ET,ATL,-7,WAS,,ATL 2,ATL 2,ATL 2,ATL 2,ATL 2,WAS 14,ATL 2,ATL 2,ATL 2,ATL 2,WAS 14,ATL 2,ATL 2,ATL 2,ATL 2,ATL 2,,237,204,209,156,217,232,236,250,269,231,207,183,204,221,123,227
5,10/11 1:00 ET,KC,-9.5,CHI,,KC 5,CHI 11,KC 5,CHI 11,KC 5,CHI 11,KC 5,KC 5,KC 5,KC 5,KC 5,KC 5,KC 5,KC 5,CHI 11,CHI 11,,237,204,209,156,217,232,236,250,269,231,207,183,204,221,123,227
5,10/11 1:00 ET,PHI,-6.5,NO,,PHI 7,NO 9,NO 9,PHI 7,NO 9,NO 9,PHI 7,NO 9,NO 9,PHI 7,PHI 7,NO 9,PHI 7,PHI 7,PHI 7,PHI 7,,237,204,209,156,217,232,236,250,269,231,207,183,204,221,123,227
5,10/11 1:00 ET,GB,-9,STL,,GB 2,GB 2,STL 14,GB 2,GB 2,STL 14,GB 2,GB 2,GB 2,GB 2,GB 2,GB 2,GB 2,GB 2,GB 2,GB 2,,237,204,209,156,217,232,236,250,269,231,207,183,204,221,123,227
5,10/11 1:00 ET,CIN,-3,SEA,,SEA 7,SEA 7,CIN 9,SEA 7,SEA 7,SEA 7,CIN 9,SEA 7,CIN 9,CIN 9,CIN 9,CIN 9,SEA 7,CIN 9,SEA 7,SEA 7,,237,204,209,156,217,232,236,250,269,231,207,183,204,221,123,227
5,10/11 4:05 ET,ARI,-4.5,DET,,ARI 5,DET 11,DET 11,ARI 5,ARI 5,ARI 5,ARI 5,ARI 5,ARI 5,ARI 5,ARI 5,ARI 5,ARI 5,DET 11,DET 11,DET 11,,237,204,209,156,217,232,236,250,269,231,207,183,204,221,123,227
5,10/11 4:25 ET,NE,-8.5,DAL,,NE 5,DAL 11,NE 5,NE 5,NE 5,DAL 11,NE 5,NE 5,NE 5,NE 5,NE 5,NE 5,DAL 11,NE 5,DAL 11,DAL 11,,237,204,209,156,217,232,236,250,269,231,207,183,204,221,123,227
5,10/11 4:25 ET,DEN,-5.5,OAK,,DEN 5,OAK 11,OAK 11,DEN 5,DEN 5,OAK 11,DEN 5,OAK 11,DEN 5,DEN 5,DEN 5,DEN 5,DEN 5,OAK 11,DEN 5,DEN 5,,237,204,209,156,217,232,236,250,269,231,207,183,204,221,123,227
5,10/11 8:30 ET,NYG,-7.5,SF,,NYG 5,SF 11,NYG 5,NYG 5,NYG 5,SF 11,NYG 5,NYG 5,NYG 5,NYG 5,SF 11,NYG 5,SF 11,NYG 5,SF 11,NYG 5,,237,204,209,156,217,232,236,250,269,231,207,183,204,221,123,227
5,10/12 8:30 ET,SD,-4,PIT,,SD 8,PIT 8,SD 8,PIT 8,PIT 8,PIT 8,SD 8,PIT 8,PIT 8,SD 8,PIT 8,SD 8,SD 8,SD 8,SD 8,PIT 8,,237,204,209,156,217,232,236,250,269,231,207,183,204,221,123,227
6,10/15 8:25 ET,ATL,-3,NO,,NO 6,NO 6,NO 6,ATL 10,ATL 10,NO 6,ATL 10,ATL 10,NO 6,ATL 10,NO 6,ATL 10,NO 6,NO 6,NO 6,NO 6,,277,243,249,213,267,286,285,298,331,287,264,216,232,267,175,274
6,10/18 1:00 ET,DEN,-3.5,CLE,,DEN 3,DEN 3,CLE 13,CLE 13,DEN 3,CLE 13,DEN 3,DEN 3,DEN 3,DEN 3,DEN 3,DEN 3,DEN 3,DEN 3,DEN 3,DEN 3,,277,243,249,213,267,286,285,298,331,287,264,216,232,267,175,274
6,10/18 1:00 ET,CIN,-3,BUF,,CIN 4,BUF 12,BUF 12,CIN 4,CIN 4,CIN 4,CIN 4,CIN 4,CIN 4,CIN 4,CIN 4,BUF 12,CIN 4,CIN 4,BUF 12,CIN 4,,277,243,249,213,267,286,285,298,331,287,264,216,232,267,175,274
6,10/18 1:00 ET,MIN,-3.5,KC,,KC 12,MIN 4,KC 12,MIN 4,MIN 4,KC 12,MIN 4,MIN 4,MIN 4,MIN 4,MIN 4,MIN 4,MIN 4,MIN 4,KC 12,MIN 4,,277,243,249,213,267,286,285,298,331,287,264,216,232,267,175,274
6,10/18 1:00 ET,JAC,-3,HOU,,JAC 9,HOU 7,JAC 9,HOU 7,HOU 7,HOU 7,JAC 9,JAC 9,HOU 7,HOU 7,JAC 9,HOU 7,HOU 7,JAC 9,HOU 7,JAC 9,,277,243,249,213,267,286,285,298,331,287,264,216,232,267,175,274
6,10/18 1:00 ET,DET,-3.5,CHI,,CHI 6,CHI 6,DET 10,CHI 6,CHI 6,CHI 6,DET 10,CHI 6,CHI 6,DET 10,DET 10,CHI 6,DET 10,DET 10,CHI 6,CHI 6,,277,243,249,213,267,286,285,298,331,287,264,216,232,267,175,274
6,10/18 1:00 ET,NYJ,-7.5,WAS,,WAS 11,NYJ 5,NYJ 5,NYJ 5,NYJ 5,WAS 11,NYJ 5,WAS 11,NYJ 5,NYJ 5,WAS 11,NYJ 5,NYJ 5,NYJ 5,WAS 11,NYJ 5,,277,243,249,213,267,286,285,298,331,287,264,216,232,267,175,274
6,10/18 1:00 ET,ARI,-5.5,PIT,,PIT 12,PIT 12,ARI 4,ARI 4,ARI 4,PIT 12,ARI 4,PIT 12,ARI 4,ARI 4,ARI 4,ARI 4,ARI 4,ARI 4,ARI 4,ARI 4,,277,243,249,213,267,286,285,298,331,287,264,216,232,267,175,274
6,10/18 1:00 ET,TEN,-2.5,MIA,,MIA 8,MIA 8,TEN 8,MIA 8,TEN 8,TEN 8,MIA 8,TEN 8,TEN 8,MIA 8,TEN 8,MIA 8,TEN 8,MIA 8,MIA 8,TEN 8,,277,243,249,213,267,286,285,298,331,287,264,216,232,267,175,274
6,10/18 4:05 ET,SEA,-7,CAR,,SEA 4,SEA 4,CAR 12,SEA 4,CAR 12,CAR 12,SEA 4,SEA 4,SEA 4,SEA 4,SEA 4,CAR 12,SEA 4,SEA 4,SEA 4,SEA 4,,277,243,249,213,267,286,285,298,331,287,264,216,232,267,175,274
